,A,Ant,B,Br,C,D,D2,E,F,G,Ge,K,L,O,W,Y,Z
M1_08_103,den edelen ghedochte,None,den ydelen gedochte,None,den edelen ghedochte,den edelen ghedochte,None,None,den edelen ghedochte.,den edelen gedochte:,None,None,None,den edelen ghedochte,None,den edelen ghedochte,None
M1_08_104,want hire mort an wrochte,None,want hire mort an wrochte,None,want hire moert anwrochte.,want hier moort an wrochte:,None,None,want hire moort an wrochte,want hiere moert ane wrochte:,None,None,None,want hier moort an wrochte,None,want hire mort aen wrochte,None
M1_09_105,vvat sal seghel ende was,None,wat zal seighel ende was,None,vuat zal zeghel ende was,wat sal seghel ende was,None,None,wat zal zeghel ende was,wat sal segel ende was:,None,None,None,wat zal zeghel ende was,None,wat sal zegel ende was,None
M1_09_106,ende brieuen die ghewaghen das,None,ende brieuen die ghewaghen das,None,ende brieue die ghewaghen das,of brieuen die ghewaghen das:,None,None,off brieue die gewagen das,ofte brieue die gewagen das:,None,None,None,ende brieuen die ghewaghen das,None,ende brieue die gewagen das,None
M1_09_107,wat dese heeren gheuen,None,van dat lantsheren gheuen,None,van dat landsheren gheuen,van dat lansheren gheuen,None,None,van dat lantsheeren gheuen,van dat die heren geuen:,None,None,None,van dat deese heeren gheuen,None,van dat lansheeren gheuen,None
M1_09_108,hets al niet hes een ghedwas,None,hets al niet ende een ghedwas,None,hets al niet hets een ghedwas,het en is anders niet dan gedwas.,None,None,hets el niet dan ghedwas,en es el niet dan gedwas:,None,None,None,en es el niet dan een ghedwas,None,hets el niet dan gedwas,None
M1_09_109,alse lief hadt mi een wilt sas,None,also lief had mi een tsas tsas,None,als lief hadt mi een wilt zas,alsoe lief haddet mi een sas,None,None,also lief had my een sas,alsoe lief hadt mi een sas:,None,None,None,also lief hadt my een zas,None,alsoe lief hadt mi .i. sas,None
M1_09_110,oft een vrese bescreuen,None,off een vriese bescreuen,None,oft een vriese bescreuen,oft een vriese bescreuen.,None,None,oft een vriese bescreuen,ochte een vriese bescreuen:,None,None,None,oft een vriese bescreuen,None,oft een vriese bescreue,None
M1_09_111,trouwe es broscher dan .i. glas,None,trouwe es broscher dan glas,None,trouwe is broescer dan glas,trouwe is broesscher dan een glas,None,None,trouwe es broesscher dan .i. glas,trouwe es broescher dan glas:,None,None,None,trauwe es broocher dan een glas,None,trouwe es broescer dan gelas,None
M1_09_112,die hier te voren so sterc was,None,die hier te voren so starc was,None,die hier teuoren zo starke was,die ter wijlen soe sterck was,None,None,die wilen eer zoe sterck was,die wilen soe starc was:,None,None,None,die wijlen so staerc was,None,die wilen soe starc was,None
M1_09_113,so es te broken bleuen,None,so es nv te brocken bleuen,None,zi is nu tebroken bleuen,si is ghebroken bleuen/,None,None,es nu te nieute bleuen,si es nu tebroken bleuen:,None,None,None,es nu te broken bleuen,None,es nv te broken bleuen,None
M1_09_114,ic wane noyt dies lands heere genas,None,ic waens noyt lantshere genas,None,ic waen dies noyt here ghenas,ick waent noyt herte en ghenas,None,None,ic waens noyt heere ghenas,jc waens noyt here en genas:,None,None,None,ic waene noyt herte en ghenas,None,ic waens noyt heere genas,None
M1_09_115,None,None,die scalc mit hem te rade las,None,die scalke te sinen raden las,die scalke tsinen rade las,None,None,die scalke te sinen rade las,die scalke tsinen rade las:,None,None,None,die scalke tsinen rade las,None,die scalke tsinen rade las,None
M1_09_116,hine moeste int hende sneuen,None,hien moste int eynde sneuen,None,hi ne moeste int einde sneuen,hi en moste int eynde sneuen:,None,None,hine moeste int eynde sneuen,hine moeste in dinde sneuen:,None,None,None,hien moste int eynde sneuen:,None,hine moeste in dinde sneuen,None
M1_09_117,ende sulc es slands verdreuen,None,ende zulc zijns lants verdreuen,None,ende zulke zijns lands verdreuen.,ende sulck sijns lants verdreuen,None,None,ende sulke es slans verdreuen,ende selke hars lants verdreuen:,None,None,None,ende sulck sijns lants verdreuen,None,ende selc sijns lants verdreuen,None
M1_10_118,martin du berechts mi wel,None,mertijn du berechts mi wel,None,martijn du berechts mi wel,martijn du berechtes mij wel.,None,None,merten du berechts mi wel,merten du berecht mi wel:,None,None,None,martin du berechts mi wel,None,martijn du berechts mi wel,None
M1_10_119,hier bi sijn die heeren fel,None,hier bi zijn die heren fel,None,hierbi zijn die heren fel,hier by sijn die herten fel,None,None,hier bij sijn die heren fel,hier bi sijn die heren fel:,None,None,None,hier bi zijn die heeren fel,None,hier bi sijn die heeren fel,None
M1_10_120,ende wandel in die tale,None,ende wankele in de tale,None,ende wandel in die tale,ende wankel in die tale.,None,None,ende wandel in die tale,ende wandelbaer in die tale:,None,None,None,ende wandel in de taele,None,ende wandelen inde tale,None
M1_10_121,in weeter wat toe segghen el,None,en weter wat toe segghen el,None,in weter wat toe zegghen el,ic en weter wat toe segghen el,None,None,ic en weeter toe zeggen el,jn weeter wat toe seggen el:,None,None,None,in weeter wat toe segghen el,None,in weeter wat toe seggen el,None
M1_10_122,die scalc hout boesheit ouer spel,None,die scalc hout boosheit ouer spel,None,die scalc houdt boesheit ouer spel,die scalke hout boesheyt ouer spel,None,None,die scalke hout loesheit ouer spel,die scalke houdt loesheit ouer spel:,None,None,None,de scalke hout boesheit ouer spel,None,die scalke hout boesheit ouer spel,None
M1_10_123,hij pijnt hoe hi die doghet smale,None,hi pijnt hoe hi die doghet versmale,None,hi pijnt hoe hi die doeghet versmale,hi pijnt hoe hi die doghet versmale,None,None,hij pijnt hoe hij doget versmale,ende pijnt hoe hi doecht versmale:,None,None,None,ende pijnt hoe hi die duecht uersmaele,None,hi pijnt hoet hi doget versmale,None
M1_10_124,caym slouch den edelen abel,None,caym sloich den edel abel,None,cayn sloech den edelen abel,caym versloech den goeden abel/,None,None,caym sloech den edelen abel,caym sloech doot den goeden abel:,None,None,None,cayn slouch doot den edel abel.,None,caym sloech den edelen abel,None
M1_10_125,dus souct die scalc sijns heeren vel,None,dus souct die scalc zijns heren vel,None,dus scoert die scalke zijns heren vel,dus soeckt die scalk sijns herten wel,None,None,dus smeect die sinen here wel,dus suect die scalke sijns heren vel:,None,None,None,dus souct de scalke sijns heeren vel,None,dus soect die scalke sijns heeren vel,None
M1_10_126,hoe hine ghetrect te dale,None,hoe hijt trect te dale,None,hoe hi ne trect te dale,hoe hi hem trect te dale,None,None,hoe hine trect te dale,hoe hine getrecke te dale:,None,None,None,hoe hine mach trecken te daele,None,hoe hine trect te dale,None
M1_10_127,god die ons noch doemen sel,None,gode die ons domen sel,None,god die ons noch doemen zel,god die ons noch doemen sel,None,None,god die ons noch doemen sel,god die ons noch doemen sel:,None,None,None,god die ons noch domen zel,None,god die ons noch doemen sel,None
M1_10_128,biddic dat hi den duuel,None,biddic dat hi den duuel,None,bid ic dat hi den duuel,hem bid ick dat hi den duuel,None,None,hem biddic datti den duuel,hem biddic dat hi den duuel:,None,None,None,bidde ic dat hi den duuel,None,hem biddic datti den duuel,None
M1_10_129,inden joncsten male,None,inden laetsten male,None,in den joncsten male,inden laesten male,None,None,inden lesten male,jn den ionxsten male:,None,None,None,in den lesten maele,None,inden lesten male,None
M1_10_130,metten scalken betale,None,metten scalc betale,None,met den scalc betale.,met sulcke scalcken betale:,None,None,metten scalken betale,metten scalken betale:,None,None,None,metten scalken betaele,None,metten scalcken betale,None
M1_11_131,martin nv berecht mi dies,None,martijn nu berecht my dies,None,martijn nu bericht mi dies,martijn nv berecht mi dies,None,None,merten nv berecht mi dies,merten berecht mi dies:,None,None,merten nv berecht mi dies,martin nu berecht my dies,None,martijn nv berecht mi dies,None
M1_11_132,berecht een god die noyt en wies,None,berecht een god die noyt ne wies,None,bericht een god die niene wies,berecht een god die nye en wies,None,None,berecht oft .i. god die nye en wies,berecht een god die noyt en wies:,None,None,oft ... god die noeyt en wies,regiert een god die noyt en wies,None,oft een god die noyt en wies,None
M1_11_133,alle creatueren,None,alle creaturen,None,alle creaturen,allen creatueren,None,None,maecte alle creatueren,alle creaturen:,None,None,berecht alle creatueren,alle die creaturen,None,berecht alle creaturen,None
M1_11_134,twi heuet die quade dan den kies,None,twi heeft den quade den kies,None,twi heeft die quade den kies,twi heeft die quade sinen kies,None,None,twij heeft die quade dan den kies,twi heeft die quade dan den kies:,None,None,twi heeft die quaede den kies,twi heeft dan die quade den kies,None,dan heeft die quade den kies,None
M1_11_135,entie goede heeft al tverlies,None,ende de goede valt int verlies,None,ende die goede valt int verlies,ende die goede valt int verlies/,None,None,entie goede valt int verlies,ende die goede valt in tferlies:,None,None,...tie go... ...alt int verlies,ende die goede valt int verlies,None,entie goede valt int verlies,None
M1_11_136,wie saelt ouer recht curen,None,wie sal voir recht curen,None,wie zalt voer rechte curen,wie salt voer recht nv cueren,None,None,wie saelt voir recht cueren,wie sal dit vore recht cueren:,None,None,w... saelt voer recht cueren,wie zal dit voor recht cueren,None,wie sal dit voer recht curen,None
M1_11_137,mijn sin seghet mi als eenen ries,None,mijn sin seit mi als een ries,None,mijn zin zeeght mi als een ries,mijn sin seyt mi als een ries,None,None,mijn sin zeyt mi als een ries,mijn sin seit mi als een ries:,None,None,...n seit mi als een r...,mijn zin seght my als een ries,None,mijn sin seit mi als een ries,None
M1_11_138,hi die adame tlijf in blies,None,hi die adaem tlijf in blies,None,hi die adaem dlijf in blies,hi die adam tlijf in blies,None,None,hij die adame dlijf in blies,hi die adame dlijf in blies:,None,None,hi die adaeme dlijf in...es,hy die adaeme tlijf in blies,None,hi die adame dlijf in blies,None
M1_11_139,die meester der natueren,None,die meester der naturen,None,die meister der naturen,die meester der natueren,None,None,die meester der natueren,die meester der naturen:,None,None,die meester der natueren,de meester der natueren,None,die meester der naturen,None
M1_11_140,heuet beuolen merc ende besies,None,heeft beuolen merc ende besies,None,heuet beuolen merc ende besies,heeft beuolen merct ende besies,None,None,heeft beuolen merct ende besies,heeft bevolen merct ende besies:,None,None,heeft beuoelen merct besies,heeft beuolen merc ende besies,None,heeft beuolen merct en besies,None
M1_11_141,None,None,dese dinc eist wair so ghies,None,is dese dinc waer zo ghies,dese dinck ees waer soe ghies,None,None,dese dinc eest waer zo ghies,dese dinc eest waer so gies:,None,None,dunct v dit waer soe ghies,deser dijnc eist waer so ghies,None,dese dinc es waer soe gies,None
M1_11_142,der blender auentueren,None,der blinder auonture,None,der blijnder auenturen,der blinder auontueren.,None,None,der blijnder auontueren,daer blender auonturen:,None,None,der blinder auontueren,der blender auentuere,None,der blinder auonturen,None
M1_11_143,die verkeert telker vren,None,die verkeert telker vre,None,die verkeert telker vren.,die verkeert telker vren:,None,None,die verkeert telker vren.,die verkeert telker vren:,None,None,die verkeert telker vren,die verkeert telker huere,None,die verkeert telker vren,None
M1_12_144,iacop sech bestu verdort,None,iacop segt bestu verdort,None,iacob zegh bistu verdoert,iacop segt bistu verdoort,None,None,iacob zegt bistu verdoort,iacob sech bestu verdort:,None,None,iacop segt bestu verdoort,iacob seght bestu verdoort,None,iacob segt bestu verdoort,None
M1_12_145,dauenture es maer een wort,None,auonture es wair en wort,None,auenture is mer een woert,auontuer en is meer een woert/,None,None,auontuere en es maer .i. woort,dauonure ens maer een wort:,None,None,auontuere en es maer .i. woort,auenture es maer een woort,None,auonture nes maer .i. woert,None
M1_12_146,van gheveinsder spraken,None,van ghepeynsden saken,None,van gheueinsder spraken,van gheueynsder spraken,None,None,van gheuensder spraken,van geveysder spraken:,None,None,uan gheuinsder spraeken,van gheueinsder spraken,None,uan gheueinster spraken,None
M1_12_147,brincstu ongheloue vort,None,brincstu ongheloue vort,None,breingstu ongheloue voert,bringstu ongheloue voert,None,None,brincstu ongeloeue voort,brincstu ongeloeue vort:,None,None,bringstu ongeloeue voert,bringhtu ongheloue voort,None,brincstu ongeloue voert,None
M1_12_148,god siet alle dinc ende hort,None,god siet alle dinc ende hort,None,god ziet alle dinc ende hoert,god siet alle dinck ende hoert.,None,None,god siet alle dinc ende hoort,god siet alle dinc ende hort:,None,None,god siet alle dinc ende hoort,god ziet alle dijnc ende hoort,None,god siet alle dinc ende hoert,None
M1_12_149,wiltu den duuel maken,None,wiltu den duuel maken,None,wiltu den duuel maken,wiltu den duuel maken,None,None,wiltu den duuel maken,wiltu den duuel maken:,None,None,wiltu den duuel maeken,wilstu den duuel maken,None,wiltu den duuel maken,None
M1_12_150,wie heuet dijn herte dus becort,None,wat heeft dine herte becort,None,wat heeft dijn herte dus versmoert,wat heuet dijn herte bekoert/,None,None,wat heeft diin herte dus becoort,wat heeft dijn herte becort:,None,None,wat heeft dijn herte becoort,wat heeft dijn herte dus verstoort,None,wat heeft dijn herte becoert,None
M1_12_151,dattu helts ant legher bort,None,dattu helts an leggher boirt,None,dattu heldes aent laegher boert,dattu houdes aent lagher boert,None,None,dattu hels ant dlegher boort,dattu hels ant arger bort:,None,None,dattu hels aent legher boort,datstu helts an tlegher boort,None,dattu hels aen dleger boort,None
M1_12_152,die papen sullent smaken,None,die papen sullent smake,None,die papen zoelent smaken,die papen sullent smaken.,None,None,die papen selent smaken,die papen selent smaken:,None,None,die paepen sullent smaeken,die papen sullent smaken,None,die papen selent smaken,None
M1_12_153,so werdstu verbrant ende versmort,None,so vert wertstu verbrant of versmoirt,None,zo wordstu verbrant of vermoert,soe werstu verbrant of versmoert,None,None,so worstu verbrant ende versmoort,so wertstu verbrant ende versmoert:,None,None,waerstu verbrant ofte versmoort,so worstu verbrant ende versmoort,None,soe waerstu verbrant ende versmort,None
M1_12_154,in gaue om dine ziele niet .i. ort,None,inne en gaue om dijn ziel niet i toirt,None,in gaue niet om dijn ziel een oert,ic en gaue om v siele niet een oert/,None,None,en gaue om diin ziele niet .i. oort,jn gaue om di niet enen toert:,None,None,en gaeue omme dine ziele niet .i. oort,ic en gaue om dijn ziele niet een oert,None,en gaue om dijn ziele niet .i. oert,None
M1_12_155,men mach met dusdanen saken,None,men mach mit sulken saken,None,men mach met zulken zaken,men en mach met sulcken saken.,None,None,men mach met sulken zaken,men mach met selken saken:,None,None,men mach met sulken saeken,men mach met zulken zaken,None,men mach met sulken saken,None
M1_12_156,gode niet ghenaken,None,gode niet genaken,None,gode niet ghenaken.,gode niet ghenaken:,None,None,gode niet ghenaken,gode niet genaken:,None,None,gode niet ghenaeken,te gode niet gheraken,None,gode niet ghenaken,None
M1_13_157,god en was noyt moede no mat,None,god en was noyt moede no mat,None,god en was nie moede noch mat,god en was nye moe noch mat,None,None,god en was noyt moede no mat,None,None,None,god en was noeyt moede no mat,god en was noyt moede no mat,None,god en was noyt moede no mat,None
